id,name,region,start_lat,start_lon,end_lat,end_lon,length_km,elevation_gain,difficulty,terrain_type,tags
1,"Dolina Kościeliska",Tatry,49.2798,19.8675,49.2336,19.8747,7.2,320,2,mountain,"waterfalls,forest"
2,"Ścieżka wokół jeziora Solińskiego",Bieszczady,49.3983,22.4675,49.3983,22.4675,15.5,50,1,lakeside,"lake,family"
3,"Szlak Orlich Gniazd",Jura Krakowsko-Częstochowska,50.4747,19.4797,50.4747,19.4797,163.9,2500,4,mountain,"castles,historical"
4,"Ścieżka przyrodnicza w Puszczy Białowieskiej",Puszcza Białowieska,52.6977,23.8471,52.6977,23.8471,4.2,20,1,forest,"nature,family"
5,"Główny Szlak Sudecki",Sudety,50.7767,15.7397,50.7767,15.7397,440.0,15000,5,mountain,"long-distance,challenging"
6,"Szlak Zamków Piastowskich",Dolny Śląsk,51.1077,17.0385,51.1077,17.0385,146.0,800,3,lowland,"castles,historical"
7,"Szlak Latarni Morskich",Pobrzeże Bałtyku,54.3520,18.6466,54.3520,18.6466,500.0,200,2,coastal,"lighthouses,sea"
8,"Szlak Bursztynowy",Pogórze Karpackie,49.5625,20.2875,49.5625,20.2875,42.0,600,2,lowland,"historical,cultural"
9,"Ścieżka edukacyjna w Kampinoskim PN",Kampinoski PN,52.3000,20.5000,52.3000,20.5000,3.5,10,1,lowland,"nature,family"
10,"Szlak Zabytków Techniki",Górny Śląsk,50.2649,19.0238,50.2649,19.0238,120.0,300,2,urban,"industrial,historical"
